ObjectId,Bill_Year,Rate_Description,Rate_Code,Rate_Type,Rate,Minimum_Rate,Maximum_Rate,Calculation_Type
1,2022,FRAME SUB HOMEOWNERS RES,A000,Residential,45,0,0,Flat Rate
2,2022,FRAME SUB HOMEOWNERS RES,A000,Resource,45,0,0,Flat Rate
3,2022,HALIBURTON/HIGHBURY REC RES,A010,Residential,0.023,0,0,Rate
4,2022,HALIBURTON/HIGHBURY RE RESO,A010,Resource,0.023,0,0,Rate
5,2022,SILVERSIDES RESIDENTS RES,A020,Residential,100,0,0,Flat Rate
6,2022,SILVERSIDES RESIDENTS RES,A020,Commercial,100,0,0,Flat Rate
7,2022,SILVERSIDES RESIDENTS RES,A020,Resource,100,0,0,Flat Rate
8,2022,HIGHLAND PARK REC ASSOC RES,A030,Residential,0.005,0,0,Rate
9,2022,HIGHLAND PARK REC ASSO RESO,A030,Resource,0.005,0,0,Rate
10,2022,KINGSWOOD RATEPAYERS RES,A040,Resource,50,0,0,Flat Rate
11,2022,KINGSWOOD RATEPAYERS RES,A040,Commercial,50,0,0,Flat Rate
12,2022,KINGSWOOD RATEPAYERS RES,A040,Residential,50,0,0,Flat Rate
13,2022,LWF RECREATION - RESOURCE,A050,Resource,0.03,0,0,Rate
14,2022,LWF RECREATION - RESIDENTIAL,A050,Residential,0.03,0,0,Rate
15,2022,MINEVILLE COMMUNITY RES,A070,Residential,20,0,0,Flat Rate
16,2022,MINEVILLE COMMUNITY RES,A070,Commercial,20,0,0,Flat Rate
17,2022,MINEVILLE COMMUNITY RES,A070,Resource,20,0,0,Flat Rate
18,2022,MUSQUODOBOIT HBR COMMON RES,A080,Residential,0.005,0,0,Rate
19,2022,MUSQUODOBOIT HBR COM RESO,A080,Resource,0.005,0,0,Rate
20,2022,PROSPECT ROAD REC ASSO - RESO,A090,Resource,0.012,0,0,Rate
21,2022,PROSPECT ROAD REC ASSOC - RES,A090,Residential,0.012,0,0,Rate
22,2022,SACK HEIGHTS COMM CENTRE RES,A100,Residential,0.01,0,0,Rate
23,2022,SACK HEIGHTS COM CENTRE RESO,A100,Resource,0.01,0,0,Rate
24,2022,SACK HEIGHTS COMM CENTRE COM,A100,Commercial,0.01,0,0,Rate
25,2022,FOX HOLLOW ST MARGS BAY RES,A110,Commercial,60,0,0,Flat Rate
26,2022,FOX HOLLOW ST MARGS BAY RES,A110,Resource,60,0,0,Flat Rate
27,2022,FOX HOLLOW ST MARGS BAY RES,A110,Residential,60,0,0,Flat Rate
28,2022,GLEN ARBOUR RESIDENTS RES,A120,Residential,65,0,0,Flat Rate
29,2022,GLEN ARBOUR RESIDENTS RES,A120,Commercial,65,0,0,Flat Rate
30,2022,GLEN ARBOUR RESIDENTS RES,A120,Resource,65,0,0,Flat Rate
31,2022,THREE BROOKS HOMEOWNERS RES,A130,Resource,60,0,0,Flat Rate
32,2022,THREE BROOKS HOMEOWNERS RES,A130,Residential,60,0,0,Flat Rate
33,2022,WESTWOOD HILLS RESIDENTS RES,A140,Resource,50,0,0,Flat Rate
34,2022,WESTWOOD HILLS RESIDENTS RES,A140,Residential,50,0,0,Flat Rate
35,2022,GR.LAKE/OAKFIELD COMM'Y RES,A160,Residential,0.021,0,0,Rate
36,2022,GR.LAKE/OAKFIELD COMM RESO,A160,Resource,0.021,0,0,Rate
37,2022,KETCH HARBOUR AREA RES,A170,Resource,66.67,0,0,Flat Rate
38,2022,KETCH HARBOUR AREA RES,A170,Residential,66.67,0,0,Flat Rate
39,2022,SHEET HBR STREETSCAPE T1 RES,A180,Commercial,25,0,0,Flat Rate
40,2022,SHEET HBR STREETSCAPE T1 RES,A180,Residential,25,0,0,Flat Rate
41,2022,SHEET HBR STREETSCAPE T2 RES,A190,Commercial,15,0,0,Flat Rate
42,2022,SHEET HBR STREETSCAPE T2 RES,A190,Residential,15,0,0,Flat Rate
43,2022,SHEET HBR STREETSCAPE T3 RES,A200,Commercial,5,0,0,Flat Rate
